id;name;price;category_id;seller_id;short_description;full_description
13;Electric Scooter J;599.99;1;3;Lightweight electric scooter;This electric scooter is perfect for commuting and navigating busy city streets. With a lightweight design, it's easy to carry when you're not riding it. The powerful battery provides up to 15 miles of range, and the scooter can reach speeds of up to 15 mph.
14;E-reader K;119.99;2;3;6-inch e-reader with adjustable front light;Enjoy your favorite books anytime and anywhere with this e-reader. The 6-inch screen features an adjustable front light, so you can read in any lighting conditions. With 8 GB of storage, you can store thousands of books on this device.
15;Bluetooth Speaker L;59.99;1;3;Portable Bluetooth speaker with built-in microphone;Take your music with you wherever you go with this portable Bluetooth speaker. It features a built-in microphone, so you can use it to make hands-free phone calls. With up to 10 hours of battery life, this speaker will keep the music going all day long.
16;Wireless Charger M;29.99;2;3;Wireless charger for Qi-enabled devices;This wireless charger is compatible with all Qi-enabled devices, so you can charge your phone, tablet, or other device without any cords or cables. The compact design makes it easy to take with you on the go.
17;Smart Bulb N;39.99;1;3;WiFi-enabled LED light bulb;This LED light bulb can be controlled with your smartphone or tablet, so you can turn it on and off or adjust the brightness from anywhere. The bulb is energy-efficient and can last up to 25,000 hours.
18;Smart Lock O;199.99;2;3;Smart lock with touchscreen keypad;This smart lock features a touchscreen keypad, so you can enter your code to unlock the door. It can also be controlled with your smartphone, so you can lock and unlock the door from anywhere. The lock is easy to install and works with most standard deadbolts.
19;Action Camera P;299.99;1;3;Waterproof action camera with 4K resolution;Capture all your outdoor adventures with this waterproof action camera. It features 4K resolution and can be mounted on your helmet, bike, or other equipment. With a battery life of up to 2 hours, you can capture all the action without worrying about running out of power.
20;Robot Vacuum Q;449.99;2;3;Smart robot vacuum with voice control;This smart robot vacuum can be controlled with your voice, so you can start and stop cleaning without ever touching a button. It features a powerful motor and a long battery life, so it can clean your entire home on a single charge.
21;Wireless Earbuds R;149.99;1;3;Noise-cancelling wireless earbuds;These wireless earbuds feature noise-cancelling technology, so you can enjoy your music without any distractions. They're also sweat and water-resistant, making them perfect for workouts and outdoor activities.
22;Gaming Mouse S;59.99;2;3;Wired gaming mouse with customizable buttons;This gaming mouse is perfect for serious gamers. It features customizable buttons, so you can set it up just the way you like it. The wired design ensures fast and accurate tracking, even during intense gaming sessions.
23;Portable Charger T;29.99;1;3;Portable charger with dual USB ports;Never run out of power on the go with this portable charger. It features dual USB ports, so you can charge two devices at the same time. With a capacity of 10,000 mAh
24;Smart Scale U;69.99;2;3;A smart scale that tracks weight, BMI, and body composition.;The Smart Scale U is a highly accurate and versatile bathroom scale that allows you to track your weight and body composition. Using advanced sensors and algorithms, this scale measures not only your weight, but also your body fat percentage, BMI, and more. The scale connects to your phone via Bluetooth and syncs with popular fitness apps, allowing you to track your progress and set goals.
25;Bluetooth Headset V;99.99;1;3;A wireless headset for hands-free calling and music listening.;The Bluetooth Headset V is a sleek and stylish wireless headset that lets you make hands-free phone calls and listen to music without the hassle of cords. With up to 8 hours of battery life and noise-cancelling technology, this headset provides crystal-clear audio quality no matter where you are.
26;Wireless Keyboard W;79.99;2;3;A full-sized keyboard that connects to your computer or tablet via Bluetooth.;The Wireless Keyboard W is a full-sized keyboard that connects to your computer or tablet via Bluetooth, providing a comfortable and convenient typing experience. With a slim and sleek design, this keyboard is perfect for use at home or on-the-go.
27;Dash Cam X;129.99;1;3;A high-quality dash cam that records video while you're driving.;The Dash Cam X is a compact and easy-to-use dash cam that records high-quality video while you're driving. With a 170-degree wide-angle lens and loop recording, this dash cam captures every detail of your journey, providing you with valuable evidence in case of an accident.
28;Smart Thermostat Y;199.99;2;3;A thermostat that learns your preferences and adjusts the temperature accordingly.;The Smart Thermostat Y is a highly advanced thermostat that learns your heating and cooling preferences and adjusts the temperature accordingly. With a sleek and intuitive interface, this thermostat is easy to use and can save you money on your energy bills.
29;Wireless Security Camera Z;99.99;1;3;A compact and easy-to-use security camera that lets you keep an eye on your home from anywhere.;The Wireless Security Camera Z is a versatile and convenient security camera that lets you keep an eye on your home from anywhere. With two-way audio and motion detection, this camera provides real-time alerts and allows you to communicate with anyone in the room.
30;Smart Garage Door Opener AA;149.99;2;3;A garage door opener that connects to your phone and lets you control your garage from anywhere.;The Smart Garage Door Opener AA is a highly advanced garage door opener that connects to your phone and allows you to control your garage from anywhere. With real-time alerts and easy-to-use controls, this garage door opener provides peace of mind and convenience.
31;Electric Toothbrush BB;99.99;1;3;An electric toothbrush that provides a deep and thorough clean for your teeth and gums.;The Electric Toothbrush BB is a high-quality toothbrush that uses advanced sonic technology to provide a deep and thorough clean for your teeth and gums. With multiple brushing modes and a long battery life, this toothbrush is perfect for anyone who wants to maintain healthy teeth and gums.
32;Wireless Router CC;129.99;2;3;A high-performance wireless router that provides fast and reliable internet access.;The Wireless Router CC is a high-performance router that provides fast and reliable internet access for your home or office. With advanced features like beamforming and MU-MIMO technology, this router delivers strong and stable Wi-Fi signals to all your devices.
33;Smart Faucet DD;299.99;1;3;Control water flow and temperature with voice commands or touch controls. Compatible with Amazon Alexa and Google Assistant.;Upgrade your bathroom with this modern and convenient smart faucet that allows you to control the water flow and temperature with ease. Simply use your voice or the touch controls to adjust the settings, and enjoy a more efficient and luxurious experience.
34;Smart Bed EE;1999.99;2;3;Track your sleep patterns, adjust the temperature, and control the bed's position with this innovative smart bed.;Experience the ultimate in comfort and convenience with this smart bed that lets you track your sleep patterns, adjust the temperature, and control the bed's position with ease. With a variety of advanced features and customizable settings, this bed is designed to provide you with the best possible sleep experience.
35;Wireless Mouse FF;39.99;1;3;Enjoy fast and precise movement with this wireless mouse that features a comfortable design and long battery life.;Say goodbye to tangled cords and enjoy the freedom of wireless with this reliable and affordable mouse. With fast and precise movement, a comfortable design, and long battery life, this mouse is perfect for work or play.
36;Smart Speaker GG;149.99;2;3;Stream music, control your smart home devices, and get answers to your questions with this powerful smart speaker.;Experience the convenience of voice control with this smart speaker that allows you to stream music, control your smart home devices, and get answers to your questions. With a powerful speaker and advanced features like voice recognition and multi-room audio, this speaker is the perfect addition to any home.
37;Wireless Headphones HH;199.99;1;3;Experience superior sound quality and comfort with these wireless headphones that feature noise-cancelling technology and long battery life.;Whether you're listening to music, watching movies, or making phone calls, these wireless headphones offer superior sound quality and comfort. With noise-cancelling technology, long battery life, and a sleek design, these headphones are perfect for commuting, traveling, or just relaxing at home.
38;Gaming Headset II;129.99;2;3;Immerse yourself in your favorite games with this gaming headset that features surround sound and a comfortable design.;Take your gaming experience to the next level with this high-quality headset that features surround sound, a comfortable design, and advanced features like voice chat and customizable settings. Whether you're playing on your PC, Xbox, or PlayStation, this headset is the perfect accessory for any serious gamer.
39;Portable Bluetooth Speaker JJ;49.99;1;3;Enjoy high-quality sound and wireless convenience with this portable Bluetooth speaker that features a compact design and long battery life.;Whether you're hanging out with friends, relaxing on the beach, or working in the garden, this portable Bluetooth speaker is the perfect accessory. With high-quality sound, a compact design, and long battery life, this speaker lets you enjoy your favorite music wherever you go.
40;Fitness Bike KK;999.99;2;3;Get a full-body workout and track your progress with this innovative fitness bike that features adjustable resistance and a built-in display.;Whether you're a seasoned athlete or just getting started with your fitness journey, this innovative bike is the perfect tool. With adjustable resistance, a built-in display, and a comfortable design, this bike lets you get a full-body workout and track your progress with ease.
41;Smart Mirror LL;399.99;1;3;Get ready for the day with this high-tech smart mirror that features a built-in display, voice control, and adjustable lighting.;Transform your bathroom or dressing room with this innovative smart mirror that lets you get ready for the day with ease
42;Electric Shaver MM;129.99;2;3;Electric Shaver MM;"Get a smooth and comfortable shave with the Electric Shaver MM. It features a powerful motor and a 3-blade cutting system for a precise and efficient shave. With its cordless design and long battery life, you can use it anywhere, anytime."
43;Wireless Game Controller NN;59.99;1;3;Wireless Game Controller NN;"Experience gaming like never before with the Wireless Game Controller NN. It features a comfortable design and responsive buttons for an immersive gaming experience. With its wireless connectivity and long battery life, you can play for hours without interruption."
44;Smart Kitchen Scale OO;59.99;2;3;Smart Kitchen Scale OO;"Measure your ingredients accurately and easily with the Smart Kitchen Scale OO. It features a sleek and compact design, and connects to your smartphone to provide real-time measurements and nutritional information. With its easy-to-use app, you can create and store your favorite recipes."
45;Smart Backpack PP;129.99;1;3;Smart Backpack PP;"Travel in style with the Smart Backpack PP. It features a sleek and modern design, and is equipped with smart features such as a USB charging port and anti-theft lock. With its spacious compartments and comfortable straps, you can carry all your essentials with ease."
46;Wireless Earphones QQ;199.99;2;3;Wireless Earphones QQ;"Enjoy your favorite music without the hassle of cords with the Wireless Earphones QQ. They feature a comfortable and secure fit, and provide high-quality sound with noise-cancelling technology. With its long battery life and wireless charging case, you can listen for hours on end."
47;Smart Doorbell RR;199.99;1;3;Smart Doorbell RR;"Keep your home safe and secure with the Smart Doorbell RR. It features a high-definition camera with night vision and two-way audio, allowing you to see and talk to visitors from anywhere. With its easy installation and smart app, you can monitor your home at all times."
48;Robot Lawn Mower SS;799.99;2;3;Robot Lawn Mower SS;"Take the hassle out of lawn care with the Robot Lawn Mower SS. It features advanced sensors and mapping technology to navigate your yard with ease. With its powerful motor and sharp blades, it can tackle even the toughest grass. With its smart app, you can schedule and monitor mowing from anywhere."
49;Smart Bike Lock TT;99.99;1;3;Smart Bike Lock TT;"Keep your bike safe and secure with the Smart Bike Lock TT. It features a strong and durable design, and connects to your smartphone for easy unlocking and tracking. With its tamper and theft alerts, you can rest easy knowing your bike is protected."
50;Wireless Charger Pad UU;19.99;2;3;Wireless Charger Pad UU;"Charge your phone without the hassle of cords with the Wireless Charger Pad UU. It features a sleek and compact design, and is compatible with most Qi-enabled devices. With its fast charging technology, you can quickly and easily charge your phone on the go."
51;Running Shoes;89.99;3;3;Comfortable running shoes for men and women;These running shoes are designed for maximum comfort and support during your daily runs. With a breathable mesh upper and cushioned insole, these shoes will help you go the distance without sacrificing style.
52;Winter Jacket;149.99;3;3;Warm and stylish winter jacket for men and women;Stay warm and look stylish this winter with our collection of winter jackets. Featuring a waterproof outer layer and a cozy inner lining, these jackets are perfect for any cold weather activity.
53;Sunglasses;59.99;3;3;Fashionable and functional sunglasses for men and women;Protect your eyes from harmful UV rays while looking stylish with our collection of sunglasses. With a variety of frames and lens colors to choose from, you're sure to find the perfect pair for any occasion.
54;Backpack;49.99;3;3;Durable and practical backpack for daily use;Whether you're heading to work or hitting the trails, our backpacks are designed to keep your essentials organized and easily accessible. With multiple pockets and compartments, these backpacks are both stylish and functional.
55;Water Bottle;19.99;3;3;Reusable water bottle for on-the-go hydration;Stay hydrated throughout the day with our collection of reusable water bottles. Made from durable materials and featuring a leak-proof design, these bottles are perfect for any outdoor activity or daily commute.
56;Yoga Mat;39.99;3;3;Non-slip yoga mat for comfortable and safe practice;Our yoga mats are designed with a non-slip surface to provide a safe and comfortable foundation for your practice. Made from high-quality materials, these mats are easy to clean and transport.
57;Garden Tools;79.99;3;3;Complete set of durable and functional garden tools;Maintain your garden with ease using our collection of garden tools. From shovels and rakes to pruning shears and watering cans, we've got everything you need to keep your garden looking its best.
58;Paint Brushes;29.99;3;3;Assorted set of high-quality paint brushes;Whether you're a beginner or a professional artist, our assortment of paint brushes has something for everyone. Made from high-quality materials and designed for precision, these brushes are perfect for any painting project.
59;Cookware Set;199.99;3;3;Complete set of high-quality cookware for any kitchen;Upgrade your kitchen with our collection of cookware sets. Featuring everything you need to cook up a storm, these sets are made from high-quality materials and designed for durability and ease of use.
60;Home Decor Pillow;24.99;3;3;Stylish and comfortable pillows for any room;Add a touch of style and comfort to any room with our collection of decorative pillows. With a variety of colors and patterns to choose from, these pillows are perfect for adding a pop of color or texture to your home decor.
61;Men's Dress Shoes;119.99;4;3;Elegant and comfortable dress shoes for men;Complete your formal look with our collection of men's dress shoes. Made from high-quality materials and designed for maximum comfort, these shoes are perfect for any special occasion.
62;Women's Dress Shoes;89.99;4;3;Stylish and comfortable dress shoes for women;Step up your style game with our collection of women's dress shoes. From classic pumps to trendy ankle boots, these shoes are designed for both style and comfort.
63;Designer Handbag;399.99;4;3;A fashionable handbag for any occasion.;This designer handbag is a must-have for any fashion-conscious individual. With its sleek design and high-quality materials, it is perfect for both formal and casual occasions.
64;Men's Watch;299.99;4;3;A classic timepiece for men.;This men's watch is the perfect accessory for any occasion. With its classic design and high-quality materials, it will add a touch of sophistication to any outfit.
65;Women's Watch;199.99;4;3;A stylish timepiece for women.;This women's watch is both elegant and practical. With its high-quality materials and stylish design, it is perfect for any occasion.
66;Fine Jewelry Earrings;149.99;4;3;A timeless pair of earrings.;These fine jewelry earrings are a classic addition to any jewelry collection. With their timeless design and high-quality materials, they are perfect for any occasion.
67;Fine Jewelry Necklace;299.99;4;3;A sophisticated necklace for any outfit.;This fine jewelry necklace is the perfect accessory for any outfit. With its elegant design and high-quality materials, it is sure to impress.
68;Sneakers;99.99;4;3;Comfortable and stylish sneakers.;These sneakers are perfect for anyone who wants to be comfortable and stylish. With their high-quality materials and trendy design, they are the perfect addition to any casual outfit.
69;Athletic Apparel;49.99;4;3;Comfortable and functional athletic apparel.;This athletic apparel is designed to keep you comfortable and performing at your best. With its high-quality materials and functional design, it is perfect for any activity.
70;Swimsuit;39.99;4;3;A stylish swimsuit for the beach or pool.;This swimsuit is the perfect addition to any beach or pool day. With its stylish design and high-quality materials, it is sure to turn heads.
71;Beach Towel;24.99;4;3;A colorful and absorbent beach towel.;This beach towel is both colorful and absorbent, making it the perfect accessory for any beach or pool day.
72;Camping Tent;149.99;5;3;A durable and spacious camping tent.;This camping tent is designed to withstand the elements and provide ample space for you and your gear. With its durable materials and spacious design, it is the perfect addition to any camping trip.
73;Sleeping Bag;99.99;5;3;A warm and comfortable sleeping bag.;This sleeping bag is designed to keep you warm and comfortable during any camping trip. With its high-quality materials and functional design, it is the perfect addition to any camping gear collection.
74;Fishing Rod;79.99;5;3;A versatile and durable fishing rod.;This fishing rod is designed to be both versatile and durable. With its high-quality materials and functional design, it is perfect for any fishing trip.
75;Bicycle;399.99;5;3;A reliable and stylish bicycle.;This bicycle is both reliable and stylish, making it the perfect choice for anyone who wants to get around town in style. With its high-quality materials and functional design, it is sure to impress.
76;Mountain Bike;899.99;5;3;A rugged and high-performance mountain bike.;This mountain bike is designed to tackle any trail with ease. With its durable materials and high-performance design, it is the perfect choice for any serious mountain biker.
77;Tennis Racquet;159.99;5;3;Tennis Racquet;This high-quality tennis racquet is designed for players of all skill levels. It features a lightweight frame and a comfortable grip, making it easy to swing and control the ball. Perfect for competitive play or just having fun on the court.
78;Snowboard;299.99;5;3;Snowboard;Hit the slopes in style with this durable snowboard. It features a sleek design and a sturdy construction that can withstand even the toughest terrain. Perfect for both beginners and experienced riders.
79;Skis;399.99;5;3;Skis;These high-performance skis are perfect for shredding down the mountain. They feature a lightweight construction and a responsive design that will help you carve through even the deepest powder. Perfect for advanced skiers.
80;Hiking Boots;149.99;5;3;Hiking Boots;Get ready to hit the trails with these rugged hiking boots. They feature a waterproof design and a comfortable fit, making them perfect for all-day hikes. Whether you're tackling tough terrain or just going for a leisurely stroll, these boots have got you covered.
81;Office Chair;129.99;4;3;Office Chair;Stay comfortable during long workdays with this ergonomic office chair. It features adjustable height and tilt, as well as lumbar support to help reduce back pain. The sleek design will also add a professional touch to any home office.
82;Desk Lamp;39.99;4;3;Desk Lamp;Illuminate your workspace with this stylish desk lamp. It features adjustable brightness and color temperature, allowing you to customize the lighting to your needs. The sleek design will also add a modern touch to any home office.
83;Laptop Bag;49.99;4;3;Laptop Bag;Protect your laptop while on the go with this durable laptop bag. It features multiple compartments for all your accessories and a comfortable shoulder strap for easy carrying. Perfect for students and professionals alike.
84;Printer;199.99;4;3;Printer;Print professional-quality documents and photos with this high-performance printer. It features fast print speeds and wireless connectivity, making it easy to print from anywhere in the room. The sleek design will also look great in any home office.
85;Computer Mouse;29.99;4;3;Computer Mouse;Improve your productivity with this high-quality computer mouse. It features a comfortable grip and responsive buttons, making it easy to navigate your computer. The sleek design will also add a modern touch to your workspace.
86;Smart Thermostat;129.99;3;3;Smart Thermostat;Control your home's temperature with ease using this smart thermostat. It features Wi-Fi connectivity and can be controlled using a smartphone app, making it easy to adjust the temperature from anywhere. The sleek design will also look great in any home.
87;Robot Lawn Mower;899.99;3;3;Robot Lawn Mower;Take the hassle out of lawn care with this innovative robot lawn mower. It features advanced sensors that can detect obstacles and adjust its course, making it easy to maintain a beautiful lawn. Perfect for busy homeowners.
88;Vacuum Sealer;79.99;3;3;Vacuum Sealer;Keep your food fresh for longer with this convenient vacuum sealer. It features a compact design and easy-to-use controls, making it perfect for both home and commercial use. The sleek design will also look great in any kitchen
89;Smart Kitchen Scale;49.99;3;3;Smart kitchen scale with LCD display;This smart kitchen scale has an LCD display and can connect to your smartphone via Bluetooth to track your progress.
90;Instant Pot;99.99;3;3;Electric pressure cooker with multiple functions;This electric pressure cooker has multiple functions including slow cooker, rice cooker, and steamer, making it a versatile addition to your kitchen.
91;Electric Guitar;399.99;2;3;Electric guitar with whammy bar;This electric guitar features a whammy bar for pitch bending and vibrato effects.
92;Acoustic Guitar;299.99;2;3;Acoustic guitar with spruce top;This acoustic guitar has a spruce top for a bright and articulate sound, making it perfect for both strumming and fingerstyle playing.
93;Drum Set;699.99;2;3;Complete drum set with cymbals and hardware;This complete drum set comes with cymbals and hardware included, making it easy to set up and start playing right away.
94;Digital Piano;999.99;2;3;88-key digital piano with weighted keys;This 88-key digital piano has weighted keys for a realistic playing experience, and comes with a variety of built-in sounds and effects.
95;Microphone;149.99;2;3;Condenser microphone with shock mount and pop filter;This condenser microphone comes with a shock mount and pop filter to reduce unwanted noise and improve recording quality.
